Parish,FIPS,POP-2018,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20
Acadia Parish,22001,62190,,,,,,,,,,,,,,1,1,2,2,3,8,9,9,11,39,47,61,72,65,75,79,82,86,89,94,98,99,101,104,105
Allen Parish,22003,25605,,,,,,,,,,,,,,,2,2,2,5,5,7,9,11,15,19,26,34,39,40,52,58,65,66,67,71,73,74,74,74
Ascension Parish,22005,124672,,,,,,,,,1,1,2,2,3,17,26,36,65,91,90,107,139,153,161,189,201,222,284,286,347,358,366,370,397,415,428,432,438,440
Assumption Parish,22007,22300,,,,,,,,,,,,1,1,1,1,2,2,5,8,8,14,17,20,25,31,33,56,59,77,84,89,94,105,109,116,120,123,129
Avoyelles Parish,22009,40462,,,,,,,,,,,,,,1,1,3,5,7,10,12,13,14,19,31,34,37,36,37,40,45,48,56,56,61,61,64,65,64
Beauregard Parish,22011,37253,,,,,,,,,,,,,,1,1,2,3,3,4,4,4,5,5,8,10,13,15,19,23,23,23,26,27,27,27,28,28,30
Bienville Parish,22013,13308,,,,,,,,,,,,,,1,1,1,1,1,1,3,3,5,6,6,8,9,10,12,14,17,17,24,27,30,33,37,37,42
Bossier Parish,22015,127185,,,,,,1,1,1,1,1,2,4,5,5,12,12,25,32,37,45,56,57,63,75,87,95,126,133,139,146,159,171,175,178,186,188,207,211
Caddo Parish,22017,242922,,,1,1,1,1,1,3,3,5,7,13,13,16,34,40,93,115,140,189,219,222,242,298,336,377,598,647,711,756,803,906,950,974,1018,1033,1097,1118
Calcasieu Parish,22019,203112,,,,,,,,,,,,,4,4,4,5,11,15,22,28,35,42,65,90,108,119,135,139,159,186,191,209,228,248,259,268,273,282
Caldwell Parish,22021,9960,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,3,10,11,13,14,18,18,18,18,18,18,18
Cameron Parish,22023,6968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,2
Catahoula Parish,22025,9608,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,3,3,3,5,6,9,9,12,13,14,17,18,20,21,21,21,22
Claiborne Parish,22027,15944,,,,,,,,,,,,,,1,2,2,2,2,3,4,4,4,8,10,11,18,20,23,30,30,33,38,40,41,41,41,41,44
Concordia Parish,22029,19572,,,,,,,,,,,,,,,,,,,,,,,3,5,8,10,5,5,9,11,12,13,16,17,18,19,19,21
De Soto Parish,22031,27436,,,,,,,,,,,,,,2,5,6,8,11,13,21,25,28,30,39,42,46,71,80,82,89,91,101,107,114,124,125,130,134
East Baton Rouge Parish,22033,440956,,,,,,,,,,1,5,7,8,18,43,58,75,105,124,153,164,188,228,244,325,389,621,656,816,892,935,1000,1088,1158,1223,1273,1295,1325
East Carroll Parish,22035,7037,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
East Feliciana Parish,22037,19305,,,,,,,,,,,,,,,,,,4,5,6,8,8,9,10,14,19,22,27,39,39,39,59,65,67,71,73,77,81
Evangeline Parish,22039,33443,,,,,,,,,,,,,1,2,2,2,2,2,4,4,4,8,10,11,16,18,19,19,23,23,25,31,35,34,36,38,39,40
Franklin Parish,22041,20156,,,,,,,,,,,,,,,,,,,,4,4,5,5,5,5,10,19,25,28,28,30,37,40,47,48,49,49,53
Grant Parish,22043,22482,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,3,5,5,9,8,10,10,10,10,11,11,11,12,12,12
Iberia Parish,22045,70941,,,,,,,,,,,,,,2,3,2,2,3,4,9,11,18,36,49,67,78,68,69,83,89,97,108,121,128,136,142,148,159
Iberville Parish,22047,32721,,,,,,,,,,,,,,2,10,14,14,17,20,21,22,28,35,36,69,81,119,122,136,160,171,187,198,214,232,241,253,256
Jackson Parish,22049,15902,,,,,,,,,,,,,,,,,1,1,3,2,2,2,3,4,4,4,1,1,4,5,5,7,8,8,8,8,9,11
Jefferson Parish,22051,434051,,1,1,1,3,7,12,16,20,37,62,90,116,184,252,293,359,458,548,744,761,838,1193,1433,2178,2495,3008,3088,3530,3922,4092,4480,4678,4877,4990,5088,5188,5265
Jefferson Davis Parish,22053,31582,,,,,,,,,,,,,,,,,1,1,1,1,2,3,5,9,13,14,9,13,21,25,28,30,32,35,44,47,47,48
Lafayette Parish,22055,242782,,,,,,,,,,,2,7,6,6,9,12,20,30,44,48,50,82,118,159,247,276,229,247,260,272,285,303,330,10,11,13,13,13
